Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s40064-015-0841-x,Patrick Morrison,Springer,Springer Plus Open Access Journal,2193-1801,Journal Article/Review (Full OA journal),The prevalence of pica in tuberous sclerosis complex,31/01/2015,RCUK,,,,,,,,,31/01/2015,586.5,,,GBP,586.5,,,,,,586.5,CC BY,Yes,Yes,
,,Biological Sciences,,,10.1186/s13567-014-0138-z,Darren Gray,BioMed Central,Veterinary Research,1297-9716,Journal Article/Review (Full OA journal),Identification of systemic immune response markers through metabolomic profiling of plasma from calves given an intra-nasally delivered respiratory vaccine,13/02/2015,RCUK,,,,,,,,,13/02/2015,892.5,,,GBP,892.5,,,,,,892.5,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s12947-015-0006-7,Caroline Bleakley,BioMed Central,Cardiovascular ultrasound,1476-7120,Journal Article/Review (Full OA journal),Ultrasound entropy may be a new non-invasive measure of pre-clinical vascular damage in young hypertensive patients,20/03/2015,RCUK,,,,,,,,,20/03/2015,1164.5,,,GBP,1164.5,,,,,,1164.5,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13054-015-0846-4,Andrew Boyle,BioMed Central,Critical Care,1466-609X,Journal Article/Review (Full OA journal),Aspirin therapy in patients with acute respiratory distress syndrome (ARDS) is associated with reduced intensive care unit mortality: a prospective analysis,23/03/2015,RCUK,,,,,,,,,23/03/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,Biological Sciences,,,10.1186/s40317-015-0025-z,Nikki Marks,BioMed Central,Animal Biotelemetry,2050-3385,Journal Article/Review (Full OA journal),Behaviour-time budget and functional habitat use of a free-ranging European badger(Meles meles),30/03/2015,RCUK,,,,,,,,,30/03/2015,1292,,,GBP,1292,,,,,,1292,CC BY,Yes,Yes,
,,Biological Sciences,,,10.1186/s12983-015-0099-8,Christine Morrow,BioMed Central,Frontiers in Zoology,1742-9994,Journal Article/Review (Full OA journal),Proposal for a revised classification of the Demospongiae (Porifera),31/03/2015,RCUK,,,,,,,,,31/03/2015,1211.25,,,GBP,1211.25,,,,,,1211.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13104-015-1077-0,Neil Heron,BioMed Central,BMC Research Notes,1756-0500,Journal Article/Review (Full OA journal),Femoral exostosis causing vastus medialis pain in an active young lady: a case report.,01/04/2015,RCUK,,,,,,,,,01/04/2015,637.5,,,GBP,637.5,,,,,,637.5,CC BY,Yes,Yes,
,,Nursing and Midwifery,,,10.1186/s12904-015-0019-x,Kevin Brazil,BioMed Central,BMC palliative care,1472-684X,Journal Article/Review (Full OA journal),General practitioners perceptions on advance care planning for patients living with dementia,22/04/2015,RCUK,,,,,,,,,22/04/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,Pharmacy,,,10.1186/s12890-015-0038-7,James McElnay,BioMed Central,BMC Pulmonary Medicine,1471-2466,Journal Article/Review (Full OA journal),"Adherence to treatment in children and adolescents with cystic fibrosis: a cross-sectional, multi-method study investigating the influence of beliefs about treatment and parental depressive symptoms",25/04/2015,RCUK,,,,,,,,,25/04/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13578-015-0011-4,Rebecca Ingram,BioMed Central,Cell & Bioscience,2045-3701,Journal Article/Review (Full OA journal),"Natural cutaneous anthrax infection, but not vaccination, induces a CD4+ÿT cell response involving diverse cytokines",25/04/2015,RCUK,,,,,,,,,25/04/2015,1083.75,,,GBP,1083.75,,,,,,1083.75,CC BY,Yes,Yes,
,,Pharmacy,,,10.1186/s12881-015-0172-3,James McElnay,BioMed Central,BMC Medical Genetics,1471-2350,Journal Article/Review (Full OA journal),Pharmacogenetics and the print media: what is the public told?,08/05/2015,RCUK,,,,,,,,,08/05/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,"Politics, International Studies and Philosophy",,,10.1186/s12910-015-0006-z,Nathan Emmerich,BioMed Central,BMC Medical Ethicsÿ,1472-6939,Journal Article/Review (Full OA journal),Caring for quality of care: symbolic violence and the bureaucracies of audit,08/05/2015,RCUK,,,,,,,,,08/05/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s12890-015-0046-7,Judy Bradley,BioMed Central,BMC Pulmonary Medicine,1471-2466,Journal Article/Review (Full OA journal),Sedentary behaviour and physical activity in bronchiectasis: a cross-sectional study,13/05/2015,RCUK,,,,,,,,,13/05/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s12918-015-0165-z,Ricardo de Matos Simoes,BioMed Central,BMC Systems Biology,1752-0509,Journal Article/Review (Full OA journal),"Urothelial cancer gene regulatory networks inferred from large-scale RNAseq, Bead and Oligo gene expression data",15/05/2015,RCUK,,,,,,,,,15/05/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,Mathematics and Physics,,,10.1140/epjqt/s40507-015-0029-x,Mauro Paternostro,Springer,EPJ Quantum Technology,2196-0763,Journal Article/Review (Full OA journal),Nonlinearity and nonclassicality in a nanomechanical resonator,27/05/2015,RCUK,,,EPSRC,,,EP/G004579/1,,,27/05/2015,667.25,,,GBP,667.25,,,,,,667.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s12909-015-0378-2,David Bell,BioMed Central,BMC Medical Education,1472-6920,Journal Article/Review (Full OA journal),"How should teaching on whole person medicine, including spiritual issues, be delivered in the undergraduate medical curriculum in the United Kingdom?",01/06/2015,RCUK,,,,,,,,,01/06/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,Pharmacy,,,10.1186/s12913-015-0869-1,Carmel Hughes,BioMed Central,BMC Health Services Research,1472-6963,Journal Article/Review (Full OA journal),?It?s very complicated?: a qualitative study of medicines management in intermediate care facilities in Northern Ireland,01/06/2015,RCUK,,,,,,,,,01/06/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,Psychology,,,10.1186/s13104-015-1181-1,Sean O'Connor,BioMed Central,BMC Research Notes,1756-0500,Journal Article/Review (Full OA journal),Failure of a numerical quality assessment scale to identify potential risk of bias in a systematic review: a comparison study,11/06/2015,RCUK,,,,,,,,,11/06/2015,637.5,,,GBP,637.5,,,,,,637.5,CC BY,Yes,Yes,
,,Biological Sciences,,,10.1186/s12983-015-0105-1,Julia Sigwart,BioMed Central,Frontiers in Zoology,1742-9994,Journal Article/Review (Full OA journal),The heart of a dragon: 3D anatomical reconstruction of the ?scaly-foot gastropod? (Mollusca: Gastropoda: Neomphalina) reveals its extraordinary circulatory system,18/06/2015,RCUK,,,NERC,,,NE/H012087/1ÿ,NE/F005504/1ÿ,,18/06/2015,1249.5,,,GBP,1249.5,,,,,,1249.5,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s40635-015-0050-5,Daniel McAuley,Springer,Intensive Care Medicine,0342-4642,Journal Article/Review (Full OA journal),A randomized clinical trial of ascorbic acid in open abdominal aortic aneurysm repair,30/06/2015,RCUK,,,,,,,,,30/06/2015,879.75,,,GBP,879.75,,,,,,879.75,CC BY,Yes,Yes,
,,Pharmacy,,,10.1186/s12645-015-0010-5,Helen McCarthy,Springer,Cancer Nanotechnology,1868-6958,Journal Article/Review (Full OA journal),DNA vaccination for prostate cancer: key concepts and considerations,01/07/2015,RCUK,,,,,,,,,01/07/2015,667.25,,,GBP,667.25,,,,,,667.25,CC BY,Yes,Yes,
,,Nursing and Midwifery,,,10.1186/s12882-015-0084-7,Helen Noble,BioMed Central,BMC Nephrology,1471-2369,Journal Article/Review (Full OA journal),"PAlliative Care in chronic Kidney diSease: the PACKS study?quality of life, decision making, costs and impact on carers in people managed without dialysis",10/07/2015,RCUK,,,,,,,,,10/07/2015,1164.5,,,GBP,1164.5,,,,,,1164.5,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13063-015-0846-3,Bronagh Blackwood,BioMed Central,Trials,1745-6215,Journal Article/Review (Full OA journal),The implausibility of ?usual care? in an open system: sedation and weaning practices in Paediatric Intensive Care Units (PICUs) in the United Kingdom (UK),31/07/2015,RCUK,,,,,,,,,31/07/2015,1164.5,,,GBP,1164.5,,,,,,1164.5,CC BY,Yes,Yes,
,,Nursing and Midwifery,,,10.1186/s13053-015-0038-x,Katherine Rogers,BioMed Central,Hereditary Cancer in Clinical Practice,1897-4287,Journal Article/Review (Full OA journal),"The role of BRCA1 and BRCA2 mutations in prostate, pancreatic and stomach cancers",31/07/2015,RCUK,,,,,,,,,31/07/2015,1164.5,,,GBP,1164.5,,,,,,1164.5,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13063-015-0905-9,Bronagh Blackwood,BioMed Central,Trials,1745-6215,Journal Article/Review (Full OA journal),Core Outcomes in Ventilation Trials (COVenT): protocol for a core outcome set using a Delphi survey with a nested randomised trial and observational cohort study,20/08/2015,RCUK,,,,,,,,,20/08/2015,1164.5,,,GBP,1164.5,,,,,,1164.5,CC BY,Yes,Yes,
,,Pharmacy,,,10.1186/s12913-015-1004-z,Carmel Hughes,BioMed Central,BMC Health Services Research,1472-6963,Journal Article/Review (Full OA journal),"Defining the content and delivery of an intervention to Change AdhereNce to treatment in BonchiEctasis (CAN-BE): a qualitative approach incorporating the Theoretical Domains Framework, behavioural change techniques and stakeholder expert panels",21/08/2015,RCUK,,,,,,,,,21/08/2015,1126.25,,,GBP,1126.25,,,,,,1126.25,CC BY,Yes,Yes,
,,Pharmacy,,,10.1186/s12900-015-0044-2,Irina G Tikhonova,BioMed Central,BMC Structural Biology,1472-6807,Journal Article/Review (Full OA journal),Free fatty acid receptors:structural models and elucidation of ligand binding interactions,26/08/2015,RCUK,,,,,,,,,26/08/2015,1164.5,,,GBP,1164.5,,,,,,1164.5,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13054-015-1091-6,Daniel McAuley,BioMed Central,Critical Care,1364-8535,Journal Article/Review (Full OA journal),Aspirin as a potential treatment in sepsis or acute respiratory distress syndrome,11/09/2015,RCUK,,,,,,,,,11/09/2015,1415.25,,,GBP,1415.25,,,,,,1415.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13643-015-0098-z,Michael Donnelly,BioMed Central,Systematic Reviews,2046-4053,Journal Article/Review (Full OA journal),Systematic review protocol of interventions to improve the psychological well-being of general practitioners,22/09/2015,RCUK,,,,,,,,,22/09/2015,1330.25,,,GBP,1330.25,,,,,,1330.25,CC BY,Yes,Yes,
,,Pharmacy,,,10.1186/s13075-015-0814-z,James McElnay,BioMed Central,Arthritis Research & Therapy,1478-6354,Journal Article/Review (Full OA journal),"Methotrexate polyglutamates as a potential marker of adherence to long-term therapy in children with juvenile idiopathic arthritis and juvenile dermatomyositis: an observational, cross-sectional study",22/10/2015,RCUK,,,,,,,,,22/10/2015,1415.25,,,GBP,1415.25,,,,,,1415.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13643-015-0149-5,Neil Heron,BioMed Central,Systematic Reviews,2046-4053,Journal Article/Review (Full OA journal),Systematic review of the use of behaviour change techniques (BCTs) in home-based cardiac rehabilitation programmes for patients with cardiovascular disease-protocol,28/10/2015,RCUK,,,,,,,,,28/10/2015,1330.25,,,GBP,1330.25,,,,,,1330.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13643-015-0150-z,JonathanÿA.ÿSilversides,BioMed Central,Systematic Reviews,2046-4053,Journal Article/Review (Full OA journal),"Fluid strategies and outcomes in patients with acute respiratory distress syndrome, systemic inflammatory response syndrome and sepsis: a protocol for a systematic review and meta-analysis",29/10/2015,RCUK,,,,,,,,,29/10/2015,1330.25,,,GBP,1330.25,,,,,,1330.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13012-015-0349-3,Cathal Cadogan,BioMed Central,Implementation Science,1748-5908,Journal Article/Review (Full OA journal),Improving appropriate polypharmacy for older people in primary care: selecting components of an evidence-based intervention to target prescribing and dispensing.,08/11/2015,RCUK,,,,,,,,,08/11/2015,1207,,,GBP,1207,,,,,,1207,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s12885-015-1910-9,Una C. McMenamin,BioMed Central,BMC Cancer,1471-2407,Journal Article/Review (Full OA journal),Low-dose aspirin and survival from lung cancer: a population-based cohort study,17/11/2015,RCUK,,,,,,,,,17/11/2015,1164.5,,,GBP,1164.5,,,,,,1164.5,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s12966-015-0311-4,Charlotte E Neville,BioMed Central,International Journal of Behavioral Nutrition and Physical Activity,1479-5868,Journal Article/Review (Full OA journal),Participating in a fruit and vegetable intervention trial improves longer term fruit and vegetable consumption and barriers to fruit and vegetable consumption: a follow-up of the ADIT study,27/11/2015,RCUK,,,,,,,,,27/11/2015,1330.25,,,GBP,1330.25,,,,,,1330.25,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s12889-015-2590-8,Helen McAneney,BioMed Central,BMC Public Health,1471-2458,Journal Article/Review (Full OA journal),Individual factors and perceived community characteristics in relation to mental health and mental well-being,12/12/2015,RCUK,,,,,,,,,12/12/2015,1096.5,,,GBP,1096.5,,,,,,1096.5,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1186/s13063-015-1061-y,Mike Clarke,BioMed Central,Trials,1745-6215,Journal Article/Review (Full OA journal),Improving the organisation of maternal health service delivery and optimising childbirth by increasing vaginal birth after caesarean section through enhanced women-centred care (OptiBIRTH trial): study protocol for a randomised controlled trial (ISRCTN10612254),29/12/2015,RCUK,,,,,,,,,29/12/2015,1164.5,,,GBP,1164.5,,,,,,1164.5,CC BY,Yes,Yes,
,,Pharmacy,4331495,25689628,10.1371/journal.pone.0118187,Cian McCrudden,PLOS,PLOS ONE,1932-6203,Journal Article/Review (Full OA journal),"Vasoactivity of Rucaparib, a PARP-1 Inhibitor, is a Complex Process that Involves Myosin Light Chain Kinase, P2 Receptors, and PARP Itself",17/02/2015,COAF,,,Cancer Research UK,,,C1278/A5965,,,02/01/2015,1350,,,USD,864.21,,,,,,864.21,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",4344953,25725809,10.1007/s00395-015-0476-7,David Grieve,Springer,Basic Research in Cardiology,1435-1803,Journal Article/Review (Hybrid journal),Exendin-4 protects against post-myocardial infarction remodelling via specific actions on inflammation and the extracellular matrix,01/03/2015,COAF,,,British Heart Foundation,,,PG/09/102,,,16/03/2015,2640,,,EURO,1894.57,,,,,,1894.57,CC BY,Yes,Yes,
,,"Sociology, Social Policy and Social Work",4329658,25886303,10.1186/s12888-015-0398-9,Michael Duffy,BioMed Central,BMC Psychiatry,1471-244X,Journal Article/Review (Full OA journal),The effects of the Omagh bomb on adolescent mental health: a school-based study,06/02/2015,COAF,,,Wellcome Trust,,,06977ÿ,,,06/02/2015,1315.8,,,GBP,1315.8,,,,,,1315.8,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,26298350,10.1016/j.ijcard.2015.07.106,Chris Patterson,Elsevier,International Journal of Cardiology,0167-5273,Journal Article/Review (Hybrid journal),Which biomarkers are predictive specifically for cardiovascular or for non-cardiovascular mortality in men? Evidence from the Caerphilly Prospective study (CaPS),05/08/2015,COAF,,,British Heart Foundation,,,PG/09/002/26056,,,14/08/2015,3227.83,,,EURO,2366.36,,,,,,2366.36,CC BY,Yes,Yes,
,,Chemistry and Chemical Engineering,,,10.1039/c5cc04188k,Wenfeng Lin,RSC,Chemical Communications,1359-7345,Journal Article/Review (Hybrid journal),Development of a PtSn bimetallic catalyst for direct fuel cells using bio-butanol fuel,20/07/2015,Other,,,EPSRC,,,EP/K014706/1,,,16/07/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Mathematics and Physics,,,10.1039/C5CP03806E,Jason Greenwood,RSC,Physical Chemistry Chemical Physics,1463-9076,Journal Article/Review (Hybrid journal),Ultrafast Non-Radiative Decay of Gas-Phase Nucleosides,13/08/2015,Other,,,STFC,EPSRC,,,EP/M001644/1,,13/08/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Chemistry and Chemical Engineering,,,10.1039/c5cp02072g,Wenfeng Lin,RSC,Physical Chemistry Chemical Physics,1463-9076,Journal Article/Review (Hybrid journal),Methanol Electro-oxidation on Platinum Modified Tungsten Carbides in Direct Methanol Fuel Cell: A DFT Study,25/08/2015,Other,,,EPSRC,,,EP/I013229/1,,,04/09/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Mathematics and Physics,,,10.1039/c4cp05303f,Jason Greenwood,RSC,Physical Chemistry Chemical Physics,1463-9076,Journal Article/Review (Hybrid journal),Proton irradiation of DNA nucleosides in the gas phase,11/02/2015,Other,,,,,,,,,26/08/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Chemistry and Chemical Engineering,,,10.1039/C5TB01512J,Panagiotis Manesiotis,RSC,Journal of Materials Chemistry B,2050-750X,Journal Article/Review (Hybrid journal),Tetrabutylammonium methacrylate as a novel receptor for selective extraction of sulphonylurea drugs from biological fluids using molecular imprinting,25/09/2015,Other,,,,,,,,,25/09/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Chemistry and Chemical Engineering,,,10.1039/C5OB02061A,Joseph Vyle,RSC,Organic & Biomolecular Chemistry,1477-0520,Journal Article/Review (Hybrid journal),Synthesis of novel pyrophosphorothiolate-linked dinucleoside cap analogues in a ball mill,13/11/2015,Other,,,EPSRC,,,,,,10/11/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Chemistry and Chemical Engineering,,,10.1039/C4GC02465F,Mark Muldoon,RSC,Green Chemistry,1463-9262,Journal Article/Review (Hybrid journal),Cationic Palladium(II) Complexes as Catalysts for Wacker-Type Oxidation of Terminal Olefins to Methyl Ketones using Hydrogen Peroxide as the Oxidant,09/03/2015,Other,,,,,,,,,23/11/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Mathematics and Physics,,,10.1039/C5CP00601E,Myrta Gruning,RSC,Physical Chemistry Chemical Physics,1463-9076,Journal Article/Review (Hybrid journal),"Strong second harmonic generation in SiC, ZnO, GaN two-dimensional hexagonal crystals from first-principles many-body calculations",25/02/2015,Other,,,,,,,,,23/11/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Chemistry and Chemical Engineering,,,10.1039/C5DT01829C,Peter Nockemann,RSC,Dalton Transactions,1477-9226,Journal Article/Review (Hybrid journal),Thermochromism and Switchable Paramagnetism of Cobalt(II) in Thiocyanate Ionic Liquids,02/06/2015,Other,,,,,,,,,23/11/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Chemistry and Chemical Engineering,,,10.1039/C5CE01890K,Danai Poulidi,RSC,CrystEngComm,1466-8033,Journal Article/Review (Hybrid journal),Evaluation of La1?xSrxMnO3 (0 ? x < 0.4) synthesised via a modified sol?gel method as mediators for magnetic fluid hyperthermia,07/12/2015,Other,,,,,,,,,09/12/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Chemistry and Chemical Engineering,,,10.1039/C5FD00030K,Chis Hardacre,RSC,Faraday Discussions,1359-6640,Journal Article/Review (Hybrid journal),Development of a Diffuse Reflectance Infrared Fourier Transform Spectroscopy (DRIFTS) Cell for the In Situ Analysis of Co-Electrolysis in a Solid Oxide Cell,12/03/2015,Other,,,EPSRC,,,EP/K001329/1,,,13/03/2015,0,,,,0,,,,RSC Gold for Gold scheme,,0,CC BY,Yes,Yes,
,,Inst for Collaborative Research in the Humanities,,,10.1007/s11158-015-9314-x,Fabian Schuppert,Springer,Res Publicaÿ,1356-4765,Journal Article/Review (Hybrid journal),"Carbon Sink Conservation and Global Justice: Benefitting, Free Riding and Non-compliance",24/12/2015,Other,,,,,,,,,08/12/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,"Planning, Architecture and Civil Engineering",,,10.1617/s11527-015-0747-7,Sree Nanukuttan,Springer,Materials and Structures,1871-6873,Journal Article/Review (Hybrid journal),Chloride transport and the resulting corrosion of steel bars in alkali activated slag concretes,18/12/2015,Other,,,,,,,,,27/11/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,Mathematics and Physics,,,10.1007/s11117-015-0387-8,A Wickstead,Springer,Positivityÿ,1385-1292,Journal Article/Review (Hybrid journal),"Banach lattice algebras: some questions, but very few answers",11/12/2015,Other,,,,,,,,,27/11/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,"Electronics, Electrical Engineering and Computer Science",,,10.1007/s13389-015-0114-1,Markku-Juhani Saarinen,Springer,Journal of Cryptographic Engineering,2190-8508,Journal Article/Review (Hybrid journal),The BRUTUS automatic cryptanalytic framework,07/12/2015,Other,,,,,,,,,25/11/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,Mechanical and Aerospace Engineering,,,10.1007/s10856-015-5615-z,Nicholas Dunne,Springer,Journal of Materials Science: Materials in Medicine,0957-4530,Journal Article/Review (Hybrid journal),Extent and mechanism of phase separation during the extrusion of calcium phosphate pastes,24/12/2015,Other,,,,,,,,,20/11/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,Nursing and Midwifery,,,10.1007/s10856-015-5630-0,S.A. Clarke,Springer,Journal of Materials Science: Materials in Medicine,0957-4530,Journal Article/Review (Hybrid journal),Osteogenic cell response to 3-D hydroxyapatite scaffolds developed via replication of natural marine sponges,24/12/2015,Other,,,,,,,,,20/11/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,"Electronics, Electrical Engineering and Computer Science",,,10.1007/s00446-015-0258-3,Peter Robinson,Springer,Distributed Computingÿ,1432-0452,Journal Article/Review (Hybrid journal),DEX: self-healing expanders,27/11/2015,Other,,,,,,,,,19/11/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,Biological Sciences,,,10.1007/s10750-015-2544-2,Cass Bromley,Springer,Hydrobiologia,0018-8158,Journal Article/Review (Hybrid journal),"Restoring degraded European native oyster, Ostrea edulis, habitat: is there a case for harrowing?",09/11/2015,Other,,,,,,,,,04/11/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,,10.1007/s00395-015-0518-1,David Grieve,Springer,Basic Research in Cardiology,0300-8428,Journal Article/Review (Hybrid journal),Exendin-4 attenuates adverse cardiac remodelling in streptozocin-induced diabetes via specific actions on infiltrating macrophages,23/11/2015,Other,,,,,,,,,02/11/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
,,"Medicine, Dentistry and Biomedical Sciences",,26564178,10.1007/s00125-015-3800-8,Chris Patterson,Springer,Diabetologiaÿ,0012-186X,Journal Article/Review (Hybrid journal),Vaccinations and childhood type 1 diabetes mellitus: a meta-analysis of observational studies,12/11/2015,Other,,,,,,,,,30/10/2015,0,,,,0,,,,Springer Compact JISC Agreement,,0,CC BY,Yes,Yes,
